fatcat entity,fatcat field,description,Crossref,ORCID,Bibtex,CSL,BIBFRAME,Dublin Core (DCMES),Dublin Core (DCMI),oai_dc (OAI-PMH),resourceSync,Highwire Press (google scholar),MEDLINE (?)
WORK,,,,,,,Work,,,,,,
RELEASE,,,,,,,Instance,,,,,,
,title,,title,,title,title,,Title,,title,,citation_title,
,release_type,use CSL types; verbatim?,type (???),,object type; howpublished,“type” vocabulary,,Type,,,,,
,release_status,"eg, preprint, final",,,,,,,,,,,
,container,,ISSN (via lookup),,ISSN (via lookup),,,Relation (?),,,,citation_issn (normalized),
,release_date,,published-print or published-online,,"year, month",issued or original-date,,Date,Issued (?),,,citation_publication_date,
,volume,,volume,,volume,volume (number),,,,,,citation_volume,
,pages,,page,,pages,page,,,,,,"citation_firstpage, citation_lastpage",
,issue,,issue,,,issue (number),,,,,,citation_issue,
,doi,always lower-case,DOI,,doi,DOI,,Identifier,,,,citation_doi,
,isbn13,,ISBN (converted),,,ISBN,,Identifier,,,,citation_isbn,
,core_id,,,,,,,,,,,,
,pmid,,,,,PMID,,,,,,,
,pmcid,,,,,PMCID,,,,,,,
,wikidata_qid,,,,,,,,,,,,
,arxiv_id,TODO?,,,,,,,,,,,
,publisher,,publisher,,publisher,publisher,,Publisher,,,,"citation_dissertation_institution, citation_technical_report_institution",
,language,RFC1766 (ISO 639-1 superset); may transition,,,,,,Language,,,,,
,ref:index,,reference:[index],,,Citation-number,,,,,,,
,ref:key,,reference:key,,,citation-label,,,,,,,
,ref:raw,,reference:unstructured,,,,,,,,,,
,ref:container_title,,reference:journal-title,,,,,,,,,,
,ref:year,,reference:year,,,,,,,,,,
,ref:title,,,,,,,,,,,,
,ref:locator,"aka, page number",,,,,,,,,,,
,contrib:role,,,,,,Role,,,,,,
,contrib:index,,author[index],,,,,,,,,,
,contrib:raw,,Author:{given+family},,author,,,,,,,,
,extra:number,tech reports,,,,,,,,,,citation_technical_report_number,
,extra:institution,for tech reports and dissertations,,,,,,,,,,,
,extra:version,"eg, for software",,,,,,,,,,,
,extra:archives,???,,,,archive,,,,,,,
,extra:genre,Sub-category of type; eg masters vs. phd thesis,,,,genre,,,,,,,
,,,,,,,,,,,,,
CREATOR,,,,,,,Agent,Creator / Contributor,,,,,
,display_name,NEW; usually western/latinized  ,,.name.credit-name.value (?),,,,,,,,citation_author,
,orcid,,,.path,,,,,,,,,
,given_name,NEW,,.name.given-names.value,,,,,,,,,
,surname,NEW,,.name.family-names.value,,,,,,,,,
,extra:viaf,,,,,,,,,,,,
,extra:alt_names[],,,,,,,,,,,,
,,,,,,,,,,,,,
CONTAINER,,,,,,,N/A,relation.isPartOf,,,,,
,name,,,,,,,,,,,"citation_journal_title, citation_conference_title",
,publisher,,,,,,,,,,,,
,issnl,,,,,,,Identifier (?),,,,citation_issn (normalized),
,abbrev,,,,,,,,,,,citation_journal_abbrev,
,coden,,,,,,,,,,,,
,extra:issn-e,,,,,,,,,,,,
,extra:issn-p,,,,,,,,,,,,
FILE,,,,,,,Item,,,,,,
,release,,,,,,,,,,,,
,size,,,,,,,,,,length,,
,sha256,NEW,,,,,,,,,hash,,
,sha1,,,,,,,,,,hash,,
,md5,,,,,,,,,,hash,,
,url,,,,www_pdf_url,,,,,,href,citation_pdf_url,
,mimetype,NEW,,,,,,Format,,,type,,
RELEASE_TYPE,,,,,,,,,,,,,
,article,if type isn’t known. Also for pre-prints?,,,,,,,,,,,
,article-magazine,* can be digital,,,,,,,,,,,
,article-newspaper,* can be digital,,,,,,,,,,,
,article-journal,*,,,,,,,,,,,
,bill,,,,,,,,,,,,
,book,*,,,,,,,,,,,
,broadcast,,,,,,,,,,,,
,chapter,*,,,,,,,,,,,
,dataset,*,,,,,,,,,,,
,entry,,,,,,,,,,,,
,entry-dictionary,,,,,,,,,,,,
,entry-encyclopedia,,,,,,,,,,,,
,figure,,,,,,,,,,,,
,graphic,,,,,,,,,,,,
,interview,,,,,,,,,,,,
,legislation,,,,,,,,,,,,
,legal_case,,,,,,,,,,,,
,manuscript,*,,,,,,,,,,,
,map,,,,,,,,,,,,
,motion_picture,,,,,,,,,,,,
,musical_score,,,,,,,,,,,,
,pamphlet,,,,,,,,,,,,
,paper-conference,*,,,,,,,,,,,
,patent,,,,,,,,,,,,
,post,"web/social media (eg, twitter)",,,,,,,,,,,
,post-weblog,*,,,,,,,,,,,
,personal_communication,,,,,,,,,,,,
,report,*,,,,,,,,,,,
,review,*,,,,,,,,,,,
,review-book,*,,,,,,,,,,,
,song,,,,,,,,,,,,
,speech,*,,,,,,,,,,,
,thesis,*,,,,,,,,,,,
,treaty,,,,,,,,,,,,
,webpage,*,,,,,,,,,,,
