fatcat entity,fatcat field,description,Crossref,ORCID,Bibtex,CSL,BIBFRAME,Dublin Core (DCMES),Dublin Core (DCMI),oai_dc (OAI-PMH),resourceSync,Highwire Press (google scholar),MEDLINE (?)
WORK,,,,,,,Work,,,,,,
,work_type,,,,,,,Type,,,,,
RELEASE,,,,,,,Instance,,,,,,
,title,,title,,title,,,Title,,title,,citation_title,
,release_type,,type (???),,object type; howpublished,,,Type,,,,,
,release_status,"NEW; eg, preprint, final",,,,,,,,,,,
,container,,ISSN (via lookup),,ISSN (via lookup),,,Relation (?),,,,citation_issn (normalized),
,release_date,RENAME,published-print or published-online,,"year, month",issued,,Date,Issued (?),,,citation_publication_date,
,volume,,volume,,volume,,,,,,,citation_volume,
,pages,,page,,pages,,,,,,,"citation_firstpage, citation_lastpage",
,issue,,issue,,,,,,,,,citation_issue,
,doi,always lower-case,DOI,,doi,DOI,,Identifier,,,,citation_doi,
,isbn13,,ISBN (converted),,,ISBN,,Identifier,,,,citation_isbn,
,publisher,,publisher,,publisher,,,Publisher,,,,"citation_dissertation_institution, citation_technical_report_institution",
,language,NEW; ISO 639-3 (3 char),,,,,,Language,,,,,
,ref:index,,reference:[index],,,Citation-number,,,,,,,
,ref:key,NEW,reference:key,,,citation-label,,,,,,,
,ref:raw,RENAME,reference:unstructured,,,,,,,,,,
,ref:container_title,NEW,reference:journal-title,,,,,,,,,,
,ref:year,NEW,reference:year,,,,,,,,,,
,ref:title,NEW,,,,,,,,,,,
,ref:locator,"NEW; (aka, page number)",,,,,,,,,,,
,contrib:role,,,,,,Role,,,,,,
,contrib:index,,author[index],,,,,,,,,,
,contrib:raw,RENAME,Author:{given+family},,author,,,,,,,,
,extra:number,tech reports,,,,,,,,,,citation_technical_report_number,
,extra:institution,for tech reports and dissertations,,,,,,,,,,,
,extra:abstract,,,,,,,Description,,,,citation_abstract,
,extra:pmcid,,,,,,,,,,,,
,extra:pmid,,,,,,,,,,,,
,extra:version,"eg, for software",,,,,,,,,,,
,,,,,,,,,,,,,
CREATOR,,,,,,,Agent,Creator / Contributor,,,,,
,display_name,NEW; usually western/latinized  ,,.name.credit-name.value (?),,,,,,,,citation_author,
,orcid,,,.path,,,,,,,,,
,given_name,NEW,,.name.given-names.value,,,,,,,,,
,surname,NEW,,.name.family-names.value,,,,,,,,,
,extra:viaf,,,,,,,,,,,,
,extra:alt_names[],,,,,,,,,,,,
,,,,,,,,,,,,,
CONTAINER,,,,,,,N/A,relation.isPartOf,,,,,
,name,,,,,,,,,,,"citation_journal_title, citation_conference_title",
,publisher,,,,,,,,,,,,
,issnl,,,,,,,Identifier (?),,,,citation_issn (normalized),
,abbrev,,,,,,,,,,,citation_journal_abbrev,
,coden,,,,,,,,,,,,
,extra:issn-e,,,,,,,,,,,,
,extra:issn-p,,,,,,,,,,,,
FILE,,,,,,,Item,,,,,,
,release,,,,,,,,,,,,
,size,,,,,,,,,,length,,
,sha256,NEW,,,,,,,,,hash,,
,sha1,,,,,,,,,,hash,,
,md5,,,,,,,,,,hash,,
,url,,,,www_pdf_url,,,,,,href,citation_pdf_url,
,mimetype,NEW,,,,,,Format,,,type,,
